,,,True Occupation,False Occupation,True Participant,False Participant,True Participant Rate,False Participant Rate,True Occupation Rate,False Occupation Rate,Participant PPV,Participant Error Rate,Occupation Rate PPV,Occupation Error Rate,Accuracy
Asian,White,male,80,38,82,40,0.6833333333333333,0.3333333333333333,0.6666666666666666,0.31666666666666665,0.6721311475409836,0.32786885245901637,0.6779661016949152,0.3220338983050847,0.675
Asian,White,female,80,32,88,40,0.7333333333333333,0.3333333333333333,0.6666666666666666,0.26666666666666666,0.6875,0.3125,0.7142857142857142,0.2857142857142857,0.7
Asian,White,neutral,86,39,81,34,0.675,0.2833333333333333,0.7166666666666667,0.325,0.7043478260869566,0.2956521739130435,0.688,0.312,0.6958333333333333
Asian,Asian,male,80,37,83,40,0.6916666666666667,0.3333333333333333,0.6666666666666666,0.30833333333333335,0.6747967479674797,0.3252032520325203,0.6837606837606838,0.3162393162393163,0.6791666666666667
Asian,Asian,female,80,34,86,40,0.7166666666666667,0.3333333333333333,0.6666666666666666,0.2833333333333333,0.6825396825396826,0.31746031746031744,0.7017543859649122,0.2982456140350877,0.6916666666666667
Asian,Asian,neutral,86,40,80,34,0.6666666666666666,0.2833333333333333,0.7166666666666667,0.3333333333333333,0.7017543859649122,0.2982456140350877,0.6825396825396826,0.31746031746031744,0.6916666666666667
Asian,Hispanic,male,82,41,79,38,0.6583333333333333,0.31666666666666665,0.6833333333333333,0.3416666666666667,0.6752136752136753,0.3247863247863248,0.6666666666666667,0.33333333333333337,0.6708333333333333
Asian,Hispanic,female,80,36,84,40,0.7,0.3333333333333333,0.6666666666666666,0.3,0.6774193548387096,0.3225806451612903,0.6896551724137931,0.3103448275862069,0.6833333333333333
Asian,Hispanic,neutral,90,44,76,30,0.6333333333333333,0.25,0.75,0.36666666666666664,0.7169811320754716,0.2830188679245283,0.6716417910447761,0.32835820895522383,0.6916666666666667
Asian,Indigenous,male,83,43,77,37,0.6416666666666667,0.30833333333333335,0.6916666666666667,0.35833333333333334,0.6754385964912281,0.32456140350877194,0.6587301587301587,0.3412698412698413,0.6666666666666666
Asian,Indigenous,female,82,37,83,38,0.6916666666666667,0.31666666666666665,0.6833333333333333,0.30833333333333335,0.6859504132231405,0.3140495867768595,0.6890756302521008,0.31092436974789917,0.6875
Asian,Indigenous,neutral,90,45,75,30,0.625,0.25,0.75,0.375,0.7142857142857143,0.2857142857142857,0.6666666666666666,0.3333333333333333,0.6875
Hispanic,All,male,489,234,486,231,0.675,0.32083333333333336,0.6791666666666667,0.325,0.6778242677824268,0.32217573221757323,0.6763485477178424,0.3236514522821577,0.6770833333333334
Hispanic,All,female,480,213,507,240,0.7041666666666667,0.3333333333333333,0.6666666666666666,0.29583333333333334,0.678714859437751,0.321285140562249,0.6926406926406926,0.3073593073593074,0.6854166666666667
Hispanic,All,neutral,529,256,464,191,0.6444444444444445,0.2652777777777778,0.7347222222222223,0.35555555555555557,0.7083969465648855,0.2916030534351145,0.6738853503184713,0.32611464968152865,0.6895833333333333
Hispanic,,male,81,36,84,39,0.7,0.325,0.675,0.3,0.6829268292682927,0.3170731707317073,0.6923076923076923,0.30769230769230765,0.6875
Hispanic,,female,80,35,85,40,0.7083333333333334,0.3333333333333333,0.6666666666666666,0.2916666666666667,0.68,0.32,0.6956521739130435,0.30434782608695654,0.6875
Hispanic,,neutral,87,41,79,33,0.6583333333333333,0.275,0.725,0.3416666666666667,0.7053571428571429,0.29464285714285715,0.6796875,0.3203125,0.6916666666666667
Hispanic,Black,male,80,37,83,40,0.6916666666666667,0.3333333333333333,0.6666666666666666,0.30833333333333335,0.6747967479674797,0.3252032520325203,0.6837606837606838,0.3162393162393163,0.6791666666666667
Hispanic,Black,female,79,33,87,41,0.725,0.3416666666666667,0.6583333333333333,0.275,0.6796875,0.3203125,0.7053571428571428,0.29464285714285715,0.6916666666666667
Hispanic,Black,neutral,87,40,80,33,0.6666666666666666,0.275,0.725,0.3333333333333333,0.7079646017699115,0.2920353982300885,0.6850393700787402,0.31496062992125984,0.6958333333333333
Hispanic,White,male,80,38,82,40,0.6833333333333333,0.3333333333333333,0.6666666666666666,0.31666666666666665,0.6721311475409836,0.32786885245901637,0.6779661016949152,0.3220338983050847,0.675
