,,,True Occupation,False Occupation,True Participant,False Participant,True Participant Rate,False Participant Rate,True Occupation Rate,False Occupation Rate,Participant PPV,Participant Error Rate,Occupation Rate PPV,Occupation Error Rate,Accuracy
Black,All,neutral,434,185,535,286,0.7430555555555556,0.3972222222222222,0.6027777777777777,0.2569444444444444,0.6516443361753959,0.34835566382460414,0.7011308562197092,0.2988691437802908,0.6729166666666667
Black,,male,86,46,74,34,0.6166666666666667,0.2833333333333333,0.7166666666666667,0.38333333333333336,0.6851851851851852,0.3148148148148148,0.6515151515151515,0.34848484848484845,0.6666666666666666
Black,,female,69,27,93,51,0.775,0.425,0.575,0.225,0.6458333333333334,0.3541666666666667,0.71875,0.28125000000000006,0.675
Black,,neutral,74,31,89,46,0.7416666666666667,0.38333333333333336,0.6166666666666667,0.25833333333333336,0.6592592592592592,0.34074074074074073,0.7047619047619048,0.29523809523809524,0.6791666666666667
Black,Black,male,84,41,79,36,0.6583333333333333,0.3,0.7,0.3416666666666667,0.6869565217391305,0.3130434782608696,0.672,0.32800000000000007,0.6791666666666667
Black,Black,female,67,27,93,53,0.775,0.44166666666666665,0.5583333333333333,0.225,0.636986301369863,0.363013698630137,0.7127659574468085,0.2872340425531915,0.6666666666666666
Black,Black,neutral,74,32,88,46,0.7333333333333333,0.38333333333333336,0.6166666666666667,0.26666666666666666,0.6567164179104478,0.34328358208955223,0.6981132075471699,0.3018867924528302,0.675
Black,White,male,83,42,78,37,0.65,0.30833333333333335,0.6916666666666667,0.35,0.6782608695652174,0.3217391304347826,0.664,0.336,0.6708333333333333
Black,White,female,63,26,94,57,0.7833333333333333,0.475,0.525,0.21666666666666667,0.6225165562913907,0.37748344370860926,0.7078651685393258,0.29213483146067415,0.6541666666666667
Black,White,neutral,70,30,90,50,0.75,0.4166666666666667,0.5833333333333334,0.25,0.6428571428571429,0.35714285714285715,0.7000000000000001,0.3,0.6666666666666666
Black,Asian,male,80,39,81,40,0.675,0.3333333333333333,0.6666666666666666,0.325,0.6694214876033058,0.3305785123966942,0.6722689075630252,0.3277310924369748,0.6708333333333333
Black,Asian,female,58,25,95,62,0.7916666666666666,0.5166666666666667,0.48333333333333334,0.20833333333333334,0.6050955414012739,0.39490445859872614,0.6987951807228916,0.30120481927710846,0.6375
Black,Asian,neutral,64,27,93,56,0.775,0.4666666666666667,0.5333333333333333,0.225,0.6241610738255033,0.37583892617449666,0.7032967032967034,0.2967032967032967,0.6541666666666667
Black,Hispanic,male,83,44,76,37,0.6333333333333333,0.30833333333333335,0.6916666666666667,0.36666666666666664,0.672566371681416,0.3274336283185841,0.6535433070866141,0.3464566929133858,0.6625
Black,Hispanic,female,70,29,91,50,0.7583333333333333,0.4166666666666667,0.5833333333333334,0.24166666666666667,0.6453900709219859,0.3546099290780142,0.7070707070707071,0.29292929292929293,0.6708333333333333
Black,Hispanic,neutral,76,32,88,44,0.7333333333333333,0.36666666666666664,0.6333333333333333,0.26666666666666666,0.6666666666666666,0.3333333333333333,0.7037037037037037,0.29629629629629634,0.6833333333333333
