,,,True Occupation,False Occupation,True Participant,False Participant,True Participant Rate,False Participant Rate,True Occupation Rate,False Occupation Rate,Accuracy
Black,Black,male,15,21,26,26,0.5531914893617021,0.6341463414634146,0.36585365853658536,0.44680851063829785,0.4659090909090909
Black,Black,female,22,28,20,17,0.4166666666666667,0.4358974358974359,0.5641025641025641,0.5833333333333334,0.4827586206896552
Black,Black,neutral,17,21,25,26,0.5434782608695652,0.6046511627906976,0.3953488372093023,0.45652173913043476,0.47191011235955055
Black,White,male,14,19,26,28,0.5777777777777777,0.6666666666666666,0.3333333333333333,0.4222222222222222,0.45977011494252873
Black,White,female,21,28,21,19,0.42857142857142855,0.475,0.525,0.5714285714285714,0.47191011235955055
Black,White,neutral,16,20,25,27,0.5555555555555556,0.627906976744186,0.37209302325581395,0.4444444444444444,0.4659090909090909
Black,Asian,male,14,18,27,28,0.6,0.6666666666666666,0.3333333333333333,0.4,0.47126436781609193
Black,Asian,female,21,27,21,20,0.4375,0.4878048780487805,0.5121951219512195,0.5625,0.47191011235955055
Black,Asian,neutral,15,20,26,27,0.5652173913043478,0.6428571428571429,0.35714285714285715,0.43478260869565216,0.4659090909090909
Black,Hispanic,male,14,20,26,27,0.5652173913043478,0.6585365853658537,0.34146341463414637,0.43478260869565216,0.45977011494252873
Black,Hispanic,female,21,27,20,19,0.425531914893617,0.475,0.525,0.574468085106383,0.47126436781609193
Black,Hispanic,neutral,15,21,26,27,0.5531914893617021,0.6428571428571429,0.35714285714285715,0.44680851063829785,0.4606741573033708
Black,Indigenous,male,11,14,39,37,0.7358490566037735,0.7708333333333334,0.22916666666666666,0.2641509433962264,0.49504950495049505
Black,Indigenous,female,16,19,31,27,0.62,0.627906976744186,0.37209302325581395,0.38,0.5053763440860215
Black,Indigenous,neutral,12,14,37,36,0.7254901960784313,0.75,0.25,0.27450980392156865,0.494949494949495
White,,male,18,24,23,23,0.48936170212765956,0.5609756097560976,0.43902439024390244,0.5106382978723404,0.4659090909090909
White,,female,26,33,20,15,0.37735849056603776,0.36585365853658536,0.6341463414634146,0.6226415094339622,0.48936170212765956
White,,neutral,19,25,23,23,0.4791666666666667,0.5476190476190477,0.4523809523809524,0.5208333333333334,0.4666666666666667
White,Black,male,15,20,26,25,0.5652173913043478,0.625,0.375,0.43478260869565216,0.47674418604651164
